だけでなく	“不仅……”	17
応じる	おうじる 适应，按照	17
大空	おおぞら 天空	17
junk	[dʒʌŋk] n.破烂货，废品	17
だけに	正因为	17
必死	ひっし 拼命	17
dialysis	[ dai'ælisis] n.分离，分解；透析，渗析	17
一遍に	いっぺんに 一下子	17
いり乱れる	いりみだれる 错杂，混杂	17
絞り出す	しぼりだす 拧出，挤出	17
火照る	ほてる （脸或身体）发热	17
boredom	[ 'bɔ:dәm] n.厌烦	17
平気	へいき 不在乎，若无其事	17
付け加える	つけくわえる 添加，附加	17
coral	['kɔrәl] n.珊瑚	17
和人	かずと 和人（人名）	17
たびに	每怎么样就会怎么样	17
目に入る	めにはいる 看见	17
reputation	[repju'teiʃən] n.名声	17
追い抜く	おいぬく 超过，赶过	17
premise	[ 'premis, pri'maiz] n.前提	17
どんなに……でも……	无论怎样，也	17
seismometer	[ saiz'mɔmitә] n.地震仪	17
間を置く	まをおく 留出时间，留出间隔	17
中休み	なかやすみ 中途休息	17
insularity	[ 'insju'læriti] n.心胸狭窄	17
谷口	たにぐち 谷口（姓）	17
追い込み	おいこみ （胜负）最后重要关头	17
縺れる	もつれる 不听使唤	17
叫ぶ	さけぶ 呼喊	17
だけでなく	“不仅……”	17
支える	ささえる 支撑，维持	17
大空	おおぞら 天空	17
追い込み	おいこみ （胜负）最后重要关头	16
間を置く	まをおく 留出时间，留出间隔	16
ex- 	prefix.(前缀，用于名词前)前…	15
班長	はんちょう 班长	14
声援	せいえん 呐喊助威，声援	14
（さ）せていただく	“请允许我做。。。”	14
につれて	“随着……”“伴随……”	14
important	[im'pɔ:tənt] a.重要的	14
sugar	['ʃugə] n.糖	15
強める	つよめる 加强，增强	16
追い込み	おいこみ （胜负）最后重要关头	16
前回り	まえまわり 向前转身	14
ない者はない	“无不……”	17
紙切れ	かみきれ 纸片，破纸	17
どんなに……でも……	无论怎样，也	17
might	[ mait] n.力量；权势	15
动词过去时＋ところだ	刚……完	5
﻿present	[pri'zent, 'prezənt] v.赠送	15
追い抜く	おいぬく 超过，赶过	16
強める	つよめる 加强，增强	16
一週	いっしゅう 绕一周	16
いったい	“究竟……呢”“到底……呢”	14
restrict	[ris'trikt] v.限制	14
ワーワー	ワーワー 吵杂声	14
支える	ささえる 支撑，维持	16
ごとに	“每……”	14
支える	ささえる 支撑，维持	16
coral	['kɔrәl] n.珊瑚	16
一息	ひといき 稍加把劲儿，一口气	16
いり乱れる	いりみだれる 错杂，混杂	16
べき	“值得”	15
……から……にかけて	from……to……	17
励み	はげみ 勤奋，努力	16
……によって	根据什么什么，通过什么什么	16
縺れる	もつれる 不听使唤	17
べき	“值得”	16
順序	じゅんじょ 次序，过程	16
競走	きょうそう 赛跑	15
谷口	たにぐち 谷口（姓）	17
……じゃありませんか	双重否定等于肯定。表达说话人就是这么想的	13
disillusion	[disi'lu:ʒәn] v.使幻想破灭	16
一位	いちい 首位，一步	17
谷口	たにぐち 谷口（姓）	17
紙切れ	かみきれ 纸片，破纸	16
ゴールイン	ゴールイン 跑进决胜点	14
応じる	おうじる 适应，按照	16
reputation	[repju'teiʃən] n.名声	15
響く	ひびく 震响，波及	16
一班	いっぱん 一班	15
というのは	所谓的什么什么	15
平川	ひらかわ 平川（姓）	16
junk	[dʒʌŋk] n.破烂货，废品	16
一位	いちい 首位，一步	17
平気	へいき 不在乎，若无其事	16
…に惠まれて	“受到。。。恩惠”、“富有。。。”	14
出し切る	だしきる 全部拿出，全部使出	13
dignity	['digniti] n.尊严	14
ゴール	ゴール 终点；球门	15
seismometer	[ saiz'mɔmitә] n.地震仪	16
unreasoning	[ ʌn'ri:zәniŋ] a.不凭理智的	16
一遍に	いっぺんに 一下子	15
flash	[flæʃ] v.闪光；闪过	15
聞き落とす	ききおとす 听漏，忘问	14
どんなに……でも……	无论怎样，也	16
instalment	[in'stɔ:lmənt] n.分期付款	16
instalment	[in'stɔ:lmənt] n.分期付款	15
お（ご）……になる	お帰りになりますか，ご出勤になりますか。	14
グラフ	graph 图表	14
一週	いっしゅう 绕一周	16
﻿fan	[fæn] n.狂热者，迷	14
池田	いけだ 池田（姓）	14
はあはあ	はあはあ 气喘吁吁地	15
順序	じゅんじょ 次序，过程	16
平川	ひらかわ 平川（姓）	16
reward	[ri'wɔ:d] v.给奖赏	14
貯える	たくわえる 积蓄	15
精一杯	せいいっぱい 竭尽全力	16
disillusion	[disi'lu:ʒәn] v.使幻想破灭	16
叫ぶ	さけぶ 呼喊	16
dread	[dred] v.惧怕	14
ivory	['aivәri] n.象牙制品	4
なさる	「する」、「なす」 的敬语	14
中休み	なかやすみ 中途休息	15
ラスト	last 最后，末尾	15
火照る	ほてる （脸或身体）发热	17
さあっと	さあっと 物体快速轻松运动时的声音和状态	16
響く	ひびく 震响，波及	16
利く	きく 经得住，奏效，起作用，好使	16
公民館	こうみんかん （开展文化活动的）市民馆	14
応じる	おうじる 适应，按照	16
premise	[ 'premis, pri'maiz] n.前提	16
dialysis	[ dai'ælisis] n.分离，分解；透析，渗析	5
追い抜く	おいぬく 超过，赶过	5
さあっと	さあっと 物体快速轻松运动时的声音和状态	5
くらい	表示程度	5
一息	ひといき 稍加把劲儿，一口气	5
traffic	['træfik] n.交通	5
息を弾む	いきをはずむ 呼吸急促	5
disillusion	[disi'lu:ʒәn] v.使幻想破灭	5
……によって	根据什么什么，通过什么什么	16
たびに	每怎么样就会怎么样	16
必死	ひっし 拼命	15
利く	きく 经得住，奏效，起作用，好使	16
dignity	['digniti] n.尊严	17
正一	しょういち 正一（人名）	17
目標	もくひょう 目标	17
insularity	[ 'insju'læriti] n.心胸狭窄	15
って	表示转达别人的话，用于口语	13
要点	ようてん 要点，要领	17
目に入る	めにはいる 看见	15
精一杯	せいいっぱい 竭尽全力	16
事柄	ことがら 事情，事态	15
から言えば	从……来说	15
食いしばる	くいしばる 咬紧牙关，拼命忍耐	16
和人	かずと 和人（人名）	17
ivory	['aivәri] n.象牙制品	3
事柄	ことがら 事情，事态	16
ばかりだ	“一直……”“一味地”	15
dignity	['digniti] n.尊严	16
ばかりだ	“一直……”“一味地”	16
和人	かずと 和人（人名）	17
班	はん 班，组	15
肩で息をする	かたでいきをする 呼吸困难	15
pull	[pul] v.拔	13
rude	[ru:d] a.无礼的	17
貯える	たくわえる 积蓄	15
活用	かつよう 实际应用	16
登り切る	のぼりきる 爬完 ，登到顶	14
premise	[ 'premis, pri'maiz] n.前提	14
reputation	[repju'teiʃən] n.名声	15
launch	[lɔ:ntʃ] v.发射，推出	15
